WLHv,RH,EV24,QMeuse,QRhine,value,coordsys,lon,lat,station
-6.986111111111111,0.05,15.0,112.0,2130.0,264.64,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-17.27777777777778,14.0,7.0,185.0,2094.0,264.6,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-15.430555555555555,12.0,10.0,180.0,2144.0,260.0,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-19.625,0.0,36.0,133.0,2587.0,247.56,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-19.13888888888889,0.0,28.0,138.0,3240.0,240.8,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-14.270833333333334,0.0,36.0,129.0,3346.0,246.44,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-5.361111111111111,0.0,28.0,120.0,3112.0,242.08,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
12.375,0.0,30.0,98.0,2817.0,243.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-2.1319444444444446,0.05,30.0,76.0,2546.0,251.72,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-7.347222222222222,0.05,29.0,76.0,2356.0,257.36,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
8.67361111111111,49.0,17.0,97.0,2203.0,261.44,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
34.90277777777778,99.0,20.0,116.0,2117.0,258.4,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
12.777777777777779,13.0,22.0,118.0,2124.0,258.92,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
11.131944444444445,27.0,18.0,109.0,2089.0,258.84,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
0.2847222222222222,2.0,23.0,99.0,2056.0,258.64,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
-22.569444444444443,0.05,17.0,85.0,2009.0,259.28,25831.0,646656.9116533193,5762067.304846929,HAGSBVN
